"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggrastr","ggrastr","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.0.1",NA,"R (>= 3.2.2)","ggplot2 (>= 2.1.0), Cairo (>= 1.5.9), ggbeeswarm, grid, png,
ragg",NA,"knitr, maps, rmarkdown, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggrepel","ggrepel","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.9.2",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra,
devtools, prettydoc, ggbeeswarm, dplyr, magrittr, readr,
stringr, withr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"ggridges","ggridges","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5.4",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"ggtree","ggtree","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.2.1",NA,"R (>= 3.5.0)","ape, aplot (>= 0.0.4), dplyr, ggplot2 (>= 3.0.0), grid,
magrittr, methods, purrr, rlang, ggfun, yulab.utils, tidyr,
tidytree (>= 0.2.6), treeio (>= 1.8.0), utils, scales",NA,"emojifont, ggimage, ggplotify, grDevices, knitr, prettydoc,
rmarkdown, stats, testthat, tibble",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"gh","gh","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.3.1",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"gitcreds","gitcreds","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"glmGamPoi","glmGamPoi","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6.0",NA,NA,"Rcpp, DelayedMatrixStats, matrixStats, DelayedArray,
HDF5Array, SummarizedExperiment, BiocGenerics, methods, stats,
utils, splines","Rcpp, RcppArmadillo, beachmat","testthat (>= 2.1.0), zoo, DESeq2, edgeR, limma, beachmat,
MASS, statmod, ggplot2, bench, BiocParallel, knitr, rmarkdown,
BiocStyle, TENxPBMCData, muscData, scran",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"globals","globals","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.16.2",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.2"
"glue","glue","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"GO.db","GO.db","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.14.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.55.1)",NA,NA,"DBI",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.2"
"goftest","goftest","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"GOSemSim","GOSemSim","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.20.0",NA,"R (>= 3.5.0)","AnnotationDbi, GO.db, methods, utils","Rcpp","AnnotationHub, BiocManager, clusterProfiler, DOSE, knitr,
rmarkdown, org.Hs.eg.db, prettydoc, testthat, ROCR",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"gplots","gplots","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"graph","graph","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","1.72.0",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.13.11)","stats, stats4, utils",NA,"SparseM (>= 0.36), XML, RBGL, RUnit, cluster","Rgraphviz","Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"grDevices",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"graphlayouts","graphlayouts","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.8.4",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"grid","grid","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","4.1.2","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"gridExtra","gridExtra","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"gridGraphics","gridGraphics","/Library/Frameworks/R.framework/Versions/4.1/Resources/library","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
